CodCLiente,Cliente,Direccion,Telefono,latitud,longitud
1,Altamirano Alejandra Sisneros Alonzo,"Prolongación Sur Peres 590 Interior 006
San Alberto los bajos, MICH 98736-9919",+13(8)8873769883,-1.1551262118572214,-79.3008638159092
2,Sáenz Gilberto Teodoro Espinosa Sisneros,"Retorno Swazilandia 103 Edif. 571 , Depto. 733
San Marco Antonio los altos, VER 42674",851-067-6654x530,-1.1712995624838887,-79.56709097000149
3,Márquez Raquel Cardenas Salinas,"Pasaje Etiopía 833 Edif. 335 , Depto. 887
Nueva Trinidad y Tabago, NL 70853-6482",01050896197,-1.1302065839013216,-79.32209858460924
4,Rojas Liliana Óliver Piña,"Viaducto Distrito Federal 376 251
San Oswaldo de la Montaña, SON 40606",181.673.8610,-1.028897504688365,-79.44776038649401
5,Guerra Lic. Modesto Padrón,"Privada Tuvalu 130 Edif. 576 , Depto. 680
San Abigail de la Montaña, NL 97382",+95(9)4331526499,-1.2171359114838833,-79.57116627350116
6,Varela Amador Alcala,"Prolongación Jordania 272 884
Vieja Malta, COAH 31882",734-303-9206x134,-0.8078198584942142,-79.48602260289195
7,Vega Lic. Augusto Ávalos,"Andador Sur Caldera 983 Interior 682
San Felipe los altos, MEX 49101",(816)579-2117x4923,-1.067357862406587,-79.47306419935441
8,Soto Cristobal Muñoz,"Callejón Botswana 705 Interior 803
San Alejandra los altos, CHIS 42982-7959",00726461717,-1.2248934369913205,-79.56310191525674
9,Arevalo Gilberto Ana María Barrera Armas,"Callejón Libia 810 Interior 327
Nueva Polonia, CHIH 03850-2826",1-973-322-0677,-0.9154403891706314,-79.58405221284859
10,Sanches Jacinto Hurtado Bahena,"Calzada Solís 401 Edif. 953 , Depto. 206
Vieja Mauritania, DGO 94490-2966",090-069-4493,-1.033026086530467,-79.32145676918846
11,Granado Ing. Rebeca Narváez,"Pasaje Norte Adame 369 767
Vieja Eslovenia, MICH 13277-3748",07730876259,-1.1985690986604407,-79.45758622531052
12,Zelaya Teresa Amador Zavala,"Circuito Rosario 432 528
Vieja Tailandia, TLAX 31545-4395",1-953-938-4319x011,-1.0270913539045348,-79.61739162983773
13,Vigil Ing. Amador Espinal,"Retorno Sur Hidalgo 448 435
Nueva Uruguay, SON 58366-1452",494-983-4193,-0.8297061530600203,-79.3656711376472
14,Aguilera Daniel Lilia Aparicio Yáñez,"Circunvalación Guyana 343 318
Nueva República Dominicana, YUC 61934-6982",1-675-746-7441,-1.1357030819308347,-79.26825189744868
15,Anguiano Georgina Roberto Tafoya,"Pasaje Sur Serna 071 706
Vieja Camboya, AGS 33209-5942",1-695-424-8057,-1.008163594566218,-79.47205205114675
16,Gutiérrez Olga Hinojosa,"Boulevard Rincón 090 Interior 806
Vieja Bangladesh, MICH 19943-9634",(662)543-3025x607,-1.0589153171478352,-79.36361702498294
17,Ceja Gustavo Jonás Vigil,"Periférico Nayarit 398 Edif. 237 , Depto. 440
San Vanesa los bajos, TLAX 90339",940.842.4503x0827,-0.8942764774261409,-79.60978285742885
18,Fajardo Soledad Lilia Sierra,"Corredor Países Bajos 683 078
San Manuel los bajos, AGS 71411",08749660519,-0.8929925297925632,-79.37604387252458
19,Vanegas Mauro Tafoya Elizondo,"Pasaje Norte Flores 116 Edif. 819 , Depto. 505
Vieja Malawi, MOR 92087",1-956-418-8862x9598,-1.1752096865586097,-79.57324780242328
20,Olivera Abelardo Débora Nava Dueñas,"Privada Gálvez 384 Edif. 557 , Depto. 888
San Elvira de la Montaña, CAMP 75129",1-022-577-3640,-0.8463048436720292,-79.58699762903582
21,Alejandro Trinidad Tejeda Nazario,"Andador Malasia 779 Interior 238
San Carla los bajos, MEX 71885",1-216-219-4257x70268,-1.2080973867841975,-79.49495001066028
22,de la Rosa Dr. Emiliano Collado,"Periférico Guanajuato 933 Interior 468
Vieja Belice, SON 06813-8829",(030)944-9712x35782,-0.9156340357757783,-79.35872053937369
23,Gaona José Eduardo Claudia Cotto Garrido,"Privada Puga 781 Edif. 467 , Depto. 850
San Clemente los bajos, BC 28004",477.166.5247,-1.2374381553344338,-79.37896672247919
24,Cervantes Yuridia Teresa Valdez Aponte,"Peatonal Campeche 497 Edif. 688 , Depto. 854
Nueva Mauricio, Q. ROO 07959-6031",08570090981,-1.0765246317767638,-79.56824781391909
25,Olivo Lucía Rubén Jaramillo,"Viaducto Oaxaca 432 556
Vieja Georgia, NL 12055",1-580-798-8002x16912,-1.1125887254989957,-79.62780224385351
26,Granados Rafaél Eugenia Negrete Sevilla,"Eje vial Montenegro 111 Interior 594
San Lorenzo los bajos, GRO 42329",1-843-954-7069x961,-1.0648148786113663,-79.3750335231512
27,Lucio Leonor Martín Gallardo Raya,"Diagonal Terrazas 499 737
Nueva Hungría, GRO 54966-8800",025-983-2357x09155,-1.2147532911004901,-79.44943831956002
28,Cabán Sr(a). Laura Valadez,"Circunvalación Norte Cervantes 185 Interior 127
Nueva Chad, ZAC 44970",05699485201,-1.1914466915100168,-79.48645506257594
29,Moya Antonia Enrique Granados Villa,"Calzada Hidalgo 916 Interior 975
Vieja Mali, BCS 41714-1326",935.684.8290x7506,-0.9605285208119615,-79.44556435046107
30,Salinas Sr(a). Uriel Guardado,"Cerrada Espinal 746 775
San María Luisa los altos, BCS 82482",1-038-241-2316x220,-0.8393625130197011,-79.38911559595226
31,Borrego Ing. Cecilia Téllez,"Retorno Montez 815 Edif. 521 , Depto. 912
San Anel de la Montaña, DGO 73267",156.643.4020x2700,-0.9720846317349311,-79.26075524661375
32,Saucedo Dr. Conchita Baca,"Pasaje Tlaxcala 066 407
San Lilia los bajos, HGO 88398",390.306.7157x448,-1.014687830778094,-79.6420033920314
33,Leal Víctor Aguayo Tejeda,"Peatonal Norte de Anda 851 623
San René los altos, Q. ROO 33662-8128",884-050-2105x204,-0.8215244240689857,-79.47823345415728
34,Navarro Jos Adán Rodríquez,"Retorno Lovato 617 Interior 458
San Esteban de la Montaña, GRO 86269",1-745-738-1536,-0.93995367773336,-79.66890044184065
35,Archuleta Angélica Godínez Rentería,"Retorno Campos 420 Interior 244
Vieja Mauritania, TAMPS 42570",1-863-251-8004x30589,-0.9954806693987696,-79.34362990593635
36,Luna Juan Carlos Camacho Roque,"Pasaje Treviño 221 Interior 782
San Irene de la Montaña, CHIS 87511-6686",500-708-0911x07415,-1.0576029041432988,-79.44234545291717
37,Loya Camila Mitzy Olivo,"Circuito Baja California Sur 206 Interior 908
San Hermelinda los altos, YUC 36281",1-218-679-8346x749,-1.1207261016866137,-79.55769302207119
38,Figueroa Abraham Guillermo Rascón Mota,"Ampliación Santillán 540 Edif. 837 , Depto. 372
San Estela los altos, Q. ROO 07771",899.919.1962x5166,-1.0822995155518755,-79.67186795054474
39,Mascareñas Aurelio Alfredo Zamudio Matos,"Retorno Puebla 398 490
Nueva San Vicente y las Granadinas, AGS 08135",115-626-1300x88454,-0.8726481190772892,-79.52663284203602
